bairro_origem,bairro_destino,logradouro,observação,peso
Recife,Santo Antônio,Pte. Buarque de Macedo,,
Recife,Santo Amaro,Av. Norte Miguel Arraes de Alencar,,
Campo Grande,Santo Amaro,R. Odorico Mendes,,
Santo Amaro,Torreão,R. Prof. Othon Paraíso,,
Espinheiro,Santo Amaro,Av. João de Barros,,
Santo Amaro,Soledade,R. Joaquim Felipe,,
Boa Vista,Santo Amaro,R. Dom Vital,,
Boa Vista,Espinheiro,R. Buenos Aires,,
Boa Vista,Graças,R. João Fernandes Viêira,,
Boa Vista,Derby,Av. Govenador Carlos de Lima Cavalcanti,,
Boa Vista,Paissandu,Av. Manoel Borba,,
Boa Vista,Soledade,R. do Progresso,,
Boa Vista,Ilha do Leite,R. Marques Amorim,,
Boa Vista,Santo Antônio,Av. Capibaribe Rio,,
Boa Vista,Coelhos,R. São Gonçalo,,
Cabanga,Pina,Pte. Gov. Paulo Guerra,,
Cabanga,São José,Av. Eng. José Estelita,,
Afogados,Cabanga,R. Escritor Souza Barro,,
Coelhos,Ilha do leite,R. Francisco Alves,,
Ilha do leite,Paissandu,Av. Frei Matias Teves,,
Ilha Joana Bezerra,Ilha do leite,Av. Gov. Agamenon Magalhães,,
Derby,Paissandu,R. Epam de Melo,,
Ilha do Retiro,Paissandu,R. Visconde do Livramento,,
Ilha Joana Bezerra,Paissandu,Pte. José Bezerra de Lima,,
Santo Amaro,Santo Antônio,R. Princesa Isabel,,
Coelhos,Santo Antônio,R. Velha,,
Recife,São José,Pte. 12 de Setembro,,
Santo Antônio,São José,Av. Martins de Barros,,
Coelhos,São José,Pte. 6 de Março,,
Ilha Joana Bezerra,São José,R. Dom Paulo II,,
Afogados,São José,R. Imperial,,
Brasilia Teimosa,São José,Av. Brasilia Teimosa,"Avenida é separada dos bairros, ela fica no mar",
Coelhos,Ilha Joana Bezerra,Pte. Viaduto Joaquim Cardoso,,
Ilha Joana Bezerra,Ilha do Retiro,R. Pref. Jorge Martins,,
Arruda,Peixinhos,Av. Prof. José dos Anjos,,
Arruda,Campina do Barreto,Av. Poe. Vinícius de Moraes,,
Arruda,Água Fria,R. da Regeneração,,
Arruda,Bomba do Hemetério,R. São Bento,,
Arruda,Mangabeira,R. Jacob,,
Arruda,Tamarineira,Estr. Velha de Água Fria,,
Arruda,Ponto de Parada,R. Peonila Botelho,,
Arruda,Campo Grande,R. Jerônimo Vilela,,
Campina do Barreto,Peixinhos,R. Dr. Elias Gomes,,
Cajueiro,Campina do Barreto,R. dos Cavaleiros,,
Campina do Barreto,Fundão,R. Cel. Urbano Ribeiro de Sena,,
Campina do Barreto,Água Fria,R. das Moças,,
Campo Grande,Peixinhos,R. Farias Neves,,
Campo Grande,Ponto de Parada,R. Pe. Villeman,//,
Campo Grande,Hipódromo,R. Francisco Berenguer,,
Campo Grande,Encruzilhada,Estr. de Belém,,
Campo Grande,Torreão,R. Dom J. Costa,,
Encruzilhada,Hipódromo,R. Frederico,,
Encruzilhada,Ponto de Parada,Av. Beberibe Santa Cruz Futebol Clube,,
Encruzilhada,Rosarinho,R. Salvador de Sá,,
Encruzilhada,Graças,R. Teles Júnior,,
Aflitos,Encruzilhada,R. Carneiro Vilela,,
Encruzilhada,Espinheiro,R. Marquês do Paraná,,
Encruzilhada,Torreão,R. Padre Miguelinho,,
Hipódromo,Ponto de Parada,R. Mem de Sá,,
Ponto de Parada,Tamarineira,Av. Prof José dos Anjos,//,
Ponto de Parada,Rosarinho,R. Couto Magalhães,,
Rosarinho,Tamarineira,R. Eng. Magalhães Melo,,
Graças,Rosarinho,Av. Santos Dumont,,
Espinheiro,Torreão,R. Djalma Farias,,
Fundão,Água Fria,Av. Beberibe,,
Porto da Madeira,Água Fria,R. Conselheiro Barreto,,
Beberibe,Água Fria,R. Alto do Guilhermino,,
Linha do Tiro,Água Fria,R. Alto do Deodato,,
Alto Santa Teresinha,Água Fria,R. Tamboara,,
Bomba do Hemetério,Água Fria,R. Aline,,
Alto Santa Terezinha,Linha do Tiro,R. Prof. José Amarino dos Reis,,
Alto José Bonifácio,Alto Santa Terezinha,R. Córrego José Grande,,
Alto Santa Terezinha,Morro da Conceição,R. Padre Oliveira,,
