bairro,grau,ordem_ego,tamanho_ego,densidade_ego
Aflitos,3,4,6,1.0
Afogados,9,10,15,0.333333
Agua Fria,9,10,17,0.377778
Alto Jose Bonifacio,5,6,10,0.666667
Alto Jose do Pinho,7,8,15,0.535714
Alto Santa Teresinha,1,2,1,1.0
Alto Santa Terezinha,6,7,13,0.619048
Alto do Mandu,4,5,7,0.7
Apipucos,7,8,12,0.428571
Areias,5,6,8,0.533333
Arruda,8,9,15,0.416667
Barro,4,5,6,0.6
Beberibe,4,5,7,0.7
Boa Viagem,5,6,8,0.533333
Boa Viagem(Setubal),1,2,1,1.0
Boa Vista,9,10,16,0.355556
Bomba do Hemeterio,5,6,10,0.666667
Bongi,4,5,7,0.7
Brasilia Teimosa,2,3,2,0.666667
Brejo da Guabiraba,5,6,8,0.533333
Brejo de Beberibe,7,8,13,0.464286
Cabanga,3,4,4,0.666667
Cacote,1,2,1,1.0
Cajueiro,3,4,5,0.833333
Campina do Barreto,5,6,9,0.6
Campo Grande,7,8,14,0.5
Casa Amarela,11,12,22,0.333333
Casa Forte,4,5,8,0.8
Caxanga,5,6,9,0.6
Cidade Universitaria,4,5,7,0.7
Coelhos,5,6,9,0.6
Cohab,3,4,4,0.666667
Coqueiral,3,4,5,0.833333
Cordeiro,8,9,14,0.388889
Corrego do Jenipapo,4,5,7,0.7
Curado,8,9,15,0.416667
Derby,4,5,7,0.7
Dois Irmaos,4,5,6,0.6
Dois Unidos,4,5,7,0.7
Encruzilhada,8,9,18,0.5
Engenho do Meio,5,6,10,0.666667
Espinheiro,6,7,13,0.619048
Estancia,3,4,5,0.833333
Fundao,4,5,8,0.8
Gracas,10,11,21,0.381818
Guabiraba,3,4,3,0.5
Hipodromo,3,4,6,1.0
Ibura,5,6,9,0.6
Ilha Joana Bezerra,5,6,9,0.6
Ilha do Leite,1,2,1,1.0
Ilha do Retiro,5,6,8,0.533333
Ilha do leite,3,4,5,0.833333
Imbiribeira,5,6,8,0.533333
Ipsep,2,3,3,1.0
Iputinga,7,8,13,0.464286
Jaqueira,5,6,10,0.666667
Jardim Sao Paulo,6,7,11,0.52381
Jiquia,5,6,8,0.533333
Jordao,3,4,5,0.833333
Linha do Tiro,6,7,12,0.571429
Macaxeira,3,4,5,0.833333
Madalena,6,7,11,0.52381
Mangabeira,4,5,7,0.7
Mangueira,4,5,8,0.8
Monteiro,5,6,9,0.6
Morro da Conceicao,5,6,10,0.666667
Mustardinha,4,5,8,0.8
Nova Descoberta,7,8,13,0.464286
Paissandu,5,6,8,0.533333
Parnamirim,5,6,10,0.666667
Passarinho,3,4,5,0.833333
Pau-Ferro,1,2,1,1.0
Peixinhos,3,4,5,0.833333
Pina,4,5,5,0.5
Poco,4,5,7,0.7
Ponto de Parada,6,7,13,0.619048
Porto da Madeira,4,5,7,0.7
Prado,6,7,11,0.52381
Recife,3,4,5,0.833333
Rosarinho,4,5,8,0.8
San Martin,8,9,14,0.388889
Sancho,4,5,8,0.8
Santana,6,7,11,0.52381
Santo Amaro,7,8,13,0.464286
Santo Antonio,5,6,10,0.666667
Sao Jose,7,8,11,0.392857
Sitio dos Pintos,2,3,3,1.0
Soledade,2,3,3,1.0
Tamarineira,8,9,15,0.416667
Tejipio,5,6,9,0.6
Torre,6,7,12,0.571429
Torreao,4,5,8,0.8
Torroes,4,5,8,0.8
Toto,3,4,5,0.833333
Varzea,3,4,5,0.833333
Vasco da Gama,4,5,7,0.7
Zumbi,4,5,8,0.8
