bairro,grau
Aflitos,3
Afogados,9
Agua Fria,9
Alto Jose Bonifacio,5
Alto Jose do Pinho,7
Alto Santa Teresinha,1
Alto Santa Terezinha,6
Alto do Mandu,4
Apipucos,7
Areias,5
Arruda,8
Barro,4
Beberibe,4
Boa Viagem,5
Boa Viagem(Setubal),1
Boa Vista,9
Bomba do Hemeterio,5
Bongi,4
Brasilia Teimosa,2
Brejo da Guabiraba,5
Brejo de Beberibe,7
Cabanga,3
Cacote,1
Cajueiro,3
Campina do Barreto,5
Campo Grande,7
Casa Amarela,11
Casa Forte,4
Caxanga,5
Cidade Universitaria,4
Coelhos,5
Cohab,3
Coqueiral,3
Cordeiro,8
Corrego do Jenipapo,4
Curado,8
Derby,4
Dois Irmaos,4
Dois Unidos,4
Encruzilhada,8
Engenho do Meio,5
Espinheiro,6
Estancia,3
Fundao,4
Gracas,10
Guabiraba,3
Hipodromo,3
Ibura,5
Ilha Joana Bezerra,5
Ilha do Leite,1
Ilha do Retiro,5
Ilha do leite,3
Imbiribeira,5
Ipsep,2
Iputinga,7
Jaqueira,5
Jardim Sao Paulo,6
Jiquia,5
Jordao,3
Linha do Tiro,6
Macaxeira,3
Madalena,6
Mangabeira,4
Mangueira,4
Monteiro,5
Morro da Conceicao,5
Mustardinha,4
Nova Descoberta,7
Paissandu,5
Parnamirim,5
Passarinho,3
Pau-Ferro,1
Peixinhos,3
Pina,4
Poco,4
Ponto de Parada,6
Porto da Madeira,4
Prado,6
Recife,3
Rosarinho,4
San Martin,8
Sancho,4
Santana,6
Santo Amaro,7
Santo Antonio,5
Sao Jose,7
Sitio dos Pintos,2
Soledade,2
Tamarineira,8
Tejipio,5
Torre,6
Torreao,4
Torroes,4
Toto,3
Varzea,3
Vasco da Gama,4
Zumbi,4
